FD:A1:04:E0:B2:92,name
datetime,value
2023-01-26 11:50:40.608000,22.5
2023-01-26 11:50:40.608000,22.5
2023-01-26 11:50:41.609000,22.375
2023-01-26 11:50:42.609000,22.5
2023-01-26 11:50:43.608000,22.625
2023-01-26 11:50:44.609000,22.375
2023-01-26 11:50:45.608000,22.625
2023-01-26 11:50:46.608000,22.625
2023-01-26 11:50:47.609000,22.625
2023-01-26 11:50:48.608000,22.625
2023-01-26 11:50:49.608000,22.625
2023-01-26 11:50:50.609000,22.875
2023-01-26 11:50:51.608000,22.625
2023-01-26 11:50:52.608000,22.625
2023-01-26 11:50:53.607000,22.875
2023-01-26 11:50:54.608000,22.75
2023-01-26 11:50:55.608000,22.75
2023-01-26 11:50:56.607000,22.75
2023-01-26 11:50:57.608000,22.625
2023-01-26 11:50:58.608000,22.75
2023-01-26 11:50:59.607000,22.875
2023-01-26 11:51:00.608000,22.75
2023-01-26 11:51:01.607000,22.875
2023-01-26 11:51:02.607000,22.75
2023-01-26 11:51:03.608000,22.875
2023-01-26 11:51:04.607000,22.75
2023-01-26 11:51:05.607000,22.75
2023-01-26 11:51:06.608000,22.75
2023-01-26 11:51:07.607000,23.0
2023-01-26 11:51:08.607000,23.0
2023-01-26 11:51:09.606000,23.125
2023-01-26 11:51:10.607000,22.875
2023-01-26 11:51:11.607000,22.875
2023-01-26 11:51:12.606000,23.0
2023-01-26 11:51:13.607000,23.0
2023-01-26 11:51:14.607000,22.875
2023-01-26 11:51:15.606000,23.125
2023-01-26 11:51:16.607000,23.0
2023-01-26 11:51:17.606000,23.0
2023-01-26 11:51:18.606000,23.125
2023-01-26 11:51:19.607000,23.125
2023-01-26 11:51:20.606000,23.125
2023-01-26 11:51:21.606000,23.125
2023-01-26 11:51:22.607000,23.125
2023-01-26 11:51:23.606000,23.5
2023-01-26 11:51:24.606000,23.125
2023-01-26 11:51:25.605000,23.125
2023-01-26 11:51:26.606000,23.25
2023-01-26 11:51:27.606000,23.125
2023-01-26 11:51:28.605000,23.25
2023-01-26 11:51:29.606000,23.125
2023-01-26 11:51:30.606000,23.25
2023-01-26 11:51:31.605000,23.125
2023-01-26 11:51:32.606000,23.25
2023-01-26 11:51:33.605000,23.25
2023-01-26 11:51:34.605000,23.25
2023-01-26 11:51:35.606000,23.125
2023-01-26 11:51:36.605000,23.25
2023-01-26 11:51:37.605000,23.125
2023-01-26 11:51:38.606000,23.25
2023-01-26 11:51:39.605000,23.375
2023-01-26 11:51:40.605000,23.125
2023-01-26 11:51:41.604000,23.5
2023-01-26 11:51:42.605000,23.375
2023-01-26 11:51:43.605000,23.5
2023-01-26 11:51:44.604000,23.25
2023-01-26 11:51:45.605000,23.5
2023-01-26 11:51:46.605000,23.5
2023-01-26 11:51:47.604000,23.375
2023-01-26 11:51:48.605000,23.375
2023-01-26 11:51:49.604000,23.375
2023-01-26 11:51:50.604000,23.5
2023-01-26 11:51:51.605000,23.5
2023-01-26 11:51:52.604000,23.5
2023-01-26 11:51:53.604000,23.625
2023-01-26 11:51:54.605000,23.5
2023-01-26 11:51:55.604000,23.5
2023-01-26 11:51:56.604000,23.5
2023-01-26 11:51:57.603000,23.625
2023-01-26 11:51:58.604000,23.625
2023-01-26 11:51:59.604000,23.5
2023-01-26 11:52:00.603000,23.5
2023-01-26 11:52:01.604000,23.625
2023-01-26 11:52:02.604000,23.625
2023-01-26 11:52:03.603000,23.625
2023-01-26 11:52:04.604000,23.75
2023-01-26 11:52:05.603000,23.75
2023-01-26 11:52:06.603000,23.625
2023-01-26 11:52:07.604000,23.625
2023-01-26 11:52:08.603000,23.75
2023-01-26 11:52:09.603000,23.75
2023-01-26 11:52:10.604000,23.75
2023-01-26 11:52:11.603000,23.75
2023-01-26 11:52:12.603000,23.625
2023-01-26 11:52:13.602000,23.75
2023-01-26 11:52:14.603000,23.625
2023-01-26 11:52:15.603000,23.625
2023-01-26 11:52:16.602000,23.75
2023-01-26 11:52:17.603000,23.75
2023-01-26 11:52:18.603000,23.75
2023-01-26 11:52:19.602000,23.75
2023-01-26 11:52:20.603000,23.75
2023-01-26 11:52:21.602000,23.75
2023-01-26 11:52:22.602000,23.75
2023-01-26 11:52:23.603000,23.875
2023-01-26 11:52:24.602000,23.75
2023-01-26 11:52:25.602000,23.75
2023-01-26 11:52:26.603000,23.75
2023-01-26 11:52:27.602000,23.75
2023-01-26 11:52:28.602000,23.75
2023-01-26 11:52:29.601000,23.75
2023-01-26 11:52:30.602000,23.75
2023-01-26 11:52:31.602000,23.875
2023-01-26 11:52:32.601000,23.75
2023-01-26 11:52:33.602000,24.0
2023-01-26 11:52:34.602000,23.75
2023-01-26 11:52:35.601000,23.75
2023-01-26 11:52:36.602000,23.875
2023-01-26 11:52:37.601000,23.875
2023-01-26 11:52:38.601000,23.75
2023-01-26 11:52:39.602000,23.75
2023-01-26 11:52:40.601000,24.125
2023-01-26 11:52:41.601000,23.75
2023-01-26 11:52:42.602000,23.875
2023-01-26 11:52:43.601000,23.75
2023-01-26 11:52:44.601000,23.75
2023-01-26 11:52:45.600000,23.875
2023-01-26 11:52:46.601000,23.875
2023-01-26 11:52:47.601000,24.0
2023-01-26 11:52:48.600000,23.875
2023-01-26 11:52:49.601000,23.875
2023-01-26 11:52:50.601000,24.125
2023-01-26 11:52:51.600000,24.0
2023-01-26 11:52:52.601000,24.125
2023-01-26 11:52:53.600000,23.875
2023-01-26 11:52:54.600000,23.875
2023-01-26 11:52:55.601000,24.0
2023-01-26 11:52:56.600000,24.125
2023-01-26 11:52:57.600000,24.125
2023-01-26 11:52:58.601000,23.75
2023-01-26 11:52:59.600000,24.0
2023-01-26 11:53:00.600000,24.0
2023-01-26 11:53:01.599000,24.125
2023-01-26 11:53:02.600000,24.0
2023-01-26 11:53:03.600000,24.0
2023-01-26 11:53:04.599000,24.0
2023-01-26 11:53:05.600000,24.25
2023-01-26 11:53:06.600000,24.125
2023-01-26 11:53:07.599000,24.125
2023-01-26 11:53:08.600000,24.0
2023-01-26 11:53:09.599000,24.125
2023-01-26 11:53:10.599000,24.0
2023-01-26 11:53:11.600000,24.25
2023-01-26 11:53:12.599000,24.0
2023-01-26 11:53:13.599000,24.0
2023-01-26 11:53:14.600000,24.125
2023-01-26 11:53:15.599000,24.0
2023-01-26 11:53:16.599000,24.125
2023-01-26 11:53:17.598000,24.125
2023-01-26 11:53:18.599000,24.25
2023-01-26 11:53:19.599000,24.25
2023-01-26 11:53:20.598000,24.0
2023-01-26 11:53:21.599000,24.25
2023-01-26 11:53:22.599000,24.25
2023-01-26 11:53:23.598000,24.25
2023-01-26 11:53:24.599000,24.125
2023-01-26 11:53:25.598000,24.25
2023-01-26 11:53:26.598000,24.125
2023-01-26 11:53:27.599000,24.0
2023-01-26 11:53:28.598000,24.25
2023-01-26 11:53:29.598000,24.25
2023-01-26 11:53:30.599000,24.125
2023-01-26 11:53:31.598000,24.125
