com.samsung.health.floors_climbed,6233003,5
start_time,custom,update_time,create_time,floor,time_offset,deviceuuid,pkg_name,end_time,datauuid
2023-02-11 11:13:58.000,,2023-02-11 11:39:09.865,2023-02-11 11:39:09.865,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-11 11:14:05.000,cc354174-a1f9-4252-b100-1e03fbc99dda,
2023-02-12 04:13:34.000,,2023-02-12 04:24:34.504,2023-02-12 04:24:34.504,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-12 04:13:46.000,f54b9cb6-a263-43a8-b002-0b4246b1a4e4,
2023-02-13 01:19:43.999,,2023-02-13 01:33:51.434,2023-02-13 01:33:51.434,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-13 01:19:49.999,949e83ae-bb90-42d9-83f8-b909a4cc9e7e,
2023-02-12 15:48:02.000,,2023-02-12 15:50:04.502,2023-02-12 15:50:04.502,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-12 15:48:07.000,6439f6d1-de30-4f56-ac58-00b9685a392c,
2023-02-13 22:31:51.001,,2023-02-13 22:45:32.841,2023-02-13 22:45:32.663,2.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-13 22:32:03.000,6067d13c-6cc0-462c-914d-91c33127d7f7,
2023-02-13 01:24:34.001,,2023-02-13 01:33:51.814,2023-02-13 01:33:51.607,2.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-13 01:24:50.000,67cd1bb7-ae02-4268-ac92-1c7d075b0708,
2023-02-25 06:31:20.999,,2023-02-25 06:58:27.277,2023-02-25 06:58:27.277,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-25 06:31:27.999,99f97f7a-a63b-4f49-8c43-7329955a5b51,
2023-02-17 14:51:06.000,,2023-02-17 14:56:44.138,2023-02-17 14:56:44.016,2.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-17 14:51:23.000,9b3a222b-d38b-41e0-ab22-288497181e5c,
2023-02-28 10:00:17.000,,2023-02-28 10:23:24.491,2023-02-28 10:23:24.491,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-28 10:00:23.000,6b5051a0-c0c7-4b3c-a29b-b0ba52ee8ce9,
2023-02-25 10:35:49.002,,2023-02-25 10:43:38.798,2023-02-25 10:43:38.798,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-25 10:35:56.002,0f333e99-c722-4a80-a36b-41be905bd225,
2023-01-23 09:12:18.001,,2023-01-23 09:44:42.790,2023-01-23 09:44:42.790,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 09:12:23.001,0c0d11d7-9ce2-40d2-b8b3-d871a279f22a,
2023-02-01 18:10:58.001,,2023-02-01 18:14:13.155,2023-02-01 18:14:13.155,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-01 18:11:13.001,1f4399c4-357a-4cbf-aa64-2b6ce563fbff,
2023-02-11 17:09:09.000,,2023-02-11 17:20:44.841,2023-02-11 17:20:44.841,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-11 17:09:16.000,f09a9117-140f-4ee3-8957-d29ff3b67458,
2023-03-02 22:57:06.000,,2023-03-02 22:57:44.645,2023-03-02 22:57:44.645,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-03-02 22:57:13.000,27c10874-cb84-4c2a-8736-3a58607eeb17,
2023-01-23 10:42:44.000,,2023-01-23 10:58:23.937,2023-01-23 10:58:23.937,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:42:49.000,a125b340-4882-4bbf-9720-5a14cc32ab9e,
2023-02-12 04:14:02.000,,2023-02-12 04:24:34.587,2023-02-12 04:24:34.587,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-12 04:14:11.000,2564fab4-3981-420f-a894-1acf144ea783,
2023-02-02 23:00:44.001,,2023-02-02 23:06:46.824,2023-02-02 23:06:46.674,2.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-02 23:00:57.000,b8377cf8-0004-4dd8-b104-e518e2ebffb1,
2023-02-11 17:11:03.000,,2023-02-11 17:20:45.180,2023-02-11 17:20:45.180,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-11 17:11:10.000,32ebc47f-a934-4205-b416-ea349e88b87e,
2023-02-12 22:04:23.000,,2023-02-12 22:18:58.878,2023-02-12 22:18:58.878,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-12 22:04:30.000,f7bc603c-f306-49c9-9ab0-a20a2601d4ad,
2023-02-12 04:18:25.000,,2023-02-12 04:24:34.659,2023-02-12 04:24:34.659,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-12 04:18:32.000,ddfee841-b964-4ec2-95fb-6284cbebb8ae,
2023-02-13 00:11:12.001,,2023-02-13 00:11:18.764,2023-02-13 00:11:18.764,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-13 00:11:18.001,ce9eb9e8-5b77-4127-b964-652dc0b8cacc,
2023-02-13 01:27:47.000,,2023-02-13 01:33:52.117,2023-02-13 01:33:52.117,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-13 01:27:57.000,ea61b2aa-f946-4e6c-ac59-e8c3c16bb45c,
2023-02-13 01:25:12.000,,2023-02-13 01:33:52.052,2023-02-13 01:33:51.983,2.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-13 01:25:27.001,5e24f49f-a7ad-4cd6-8661-8034182da5ff,
2023-02-23 23:08:56.000,,2023-02-23 23:13:34.310,2023-02-23 23:13:34.310,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-23 23:09:05.000,1e9cac2d-25c2-4629-bb8b-5f9f7f4de1aa,
2023-02-21 21:05:36.999,,2023-02-21 21:13:25.822,2023-02-21 21:13:25.822,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-21 21:05:46.999,66b26a0c-0759-4ea5-8d61-21f9fc4757d2,
2023-02-27 23:49:31.999,,2023-02-27 23:49:54.257,2023-02-27 23:49:54.257,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-27 23:49:37.999,ec2d6dd0-a47a-45e1-a85e-d8d08db408d0,
2023-02-25 15:42:19.999,,2023-02-25 15:48:13.328,2023-02-25 15:48:13.328,1.0,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-02-25 15:42:27.999,733fbe75-9114-42b5-b163-f06ec2c246ae,
