com.samsung.shealth.activity.day_summary,6233003,3
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,90,0,2023-01-26 17:10:30.787,2023-01-26 17:10:30.787,-1,0,0,0.0,0.0,c7cbc237-dd91-4a4d-942d-4b9c0fffe217.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,c7cbc237-dd91-4a4d-942d-4b9c0fffe217,1672704000000,
0,0,90,0,2023-01-26 17:10:31.790,2023-01-26 17:10:31.790,-1,0,0,0.0,0.0,453f278a-5f2c-4230-92c4-df06eadc0248.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,453f278a-5f2c-4230-92c4-df06eadc0248,1673308800000,
0,0,90,0,2023-01-26 17:10:31.964,2023-01-26 17:10:31.964,-1,0,0,0.0,0.0,65dbe5fe-946d-4372-a68e-47c44471ce70.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,65dbe5fe-946d-4372-a68e-47c44471ce70,1673481600000,
0,0,90,0,2023-01-26 17:10:32.080,2023-01-26 17:10:32.080,-1,0,0,0.0,0.0,c64b5ab2-6c1e-48e3-a57c-a6557b803a79.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,c64b5ab2-6c1e-48e3-a57c-a6557b803a79,1673654400000,
0,0,90,0,2023-01-26 17:10:31.879,2023-01-26 17:10:31.879,-1,0,0,0.0,0.0,e59fbbaf-67e2-4c82-816d-04e510d550d6.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,e59fbbaf-67e2-4c82-816d-04e510d550d6,1673395200000,
0,0,90,0,2023-01-26 17:10:32.030,2023-01-26 17:10:32.030,-1,0,0,0.0,0.0,3cdf6845-346f-4804-8367-0e9a2bcc3c7d.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,3cdf6845-346f-4804-8367-0e9a2bcc3c7d,1673568000000,
0,0,90,0,2023-01-26 17:10:31.654,2023-01-26 17:10:31.654,-1,0,0,0.0,0.0,22af4c97-dc53-4df4-ab15-a69df5f626c5.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,22af4c97-dc53-4df4-ab15-a69df5f626c5,1673222400000,
0,0,90,0,2023-01-26 17:10:32.313,2023-01-26 17:10:32.313,-1,0,0,0.0,0.0,f5e12992-e0bf-4fe9-b372-09e32c6476a9.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,f5e12992-e0bf-4fe9-b372-09e32c6476a9,1674000000000,
0,0,90,0,2023-01-26 17:10:32.217,2023-01-26 17:10:32.217,-1,0,0,0.0,0.0,86c5de86-e536-477b-946c-2d8bc02326cd.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,86c5de86-e536-477b-946c-2d8bc02326cd,1673827200000,
0,0,90,0,2023-01-26 17:10:32.380,2023-01-26 17:10:32.380,-1,0,0,0.0,0.0,198dad33-7da1-400d-8502-006b8e6f3971.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,198dad33-7da1-400d-8502-006b8e6f3971,1674172800000,
0,0,90,0,2023-01-26 17:10:32.349,2023-01-26 17:10:32.349,-1,0,0,0.0,0.0,d93a32d6-eee2-4b55-ac00-8f42a667b3f7.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,d93a32d6-eee2-4b55-ac00-8f42a667b3f7,1674086400000,
0,0,90,0,2023-01-26 17:10:32.278,2023-01-26 17:10:32.278,-1,0,0,0.0,0.0,29eff7e7-2a2e-4e0c-ba74-06e75e8f562f.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,29eff7e7-2a2e-4e0c-ba74-06e75e8f562f,1673913600000,
0,0,90,0,2023-01-26 17:10:32.136,2023-01-26 17:10:32.136,-1,0,0,0.0,0.0,03da5fae-fbbb-486b-ba8e-80fafb9615da.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,03da5fae-fbbb-486b-ba8e-80fafb9615da,1673740800000,
1813,1200137,90,0,2023-01-26 17:10:36.243,2023-01-26 17:10:32.462,-1,60000,21,1341.0599,65.95002,5d514e62-86e9-4bb9-9747-4a894a7edb1d.extra_data.json,aZEautf6/t,5600,com.sec.android.app.shealth,1194537,59520000,5d514e62-86e9-4bb9-9747-4a894a7edb1d,1674345600000,
1926,1235664,90,0,2023-01-26 17:10:36.326,2023-01-26 17:10:32.523,-1,120000,22,1454.6102,98.06006,a10f44dd-48f3-4cd5-9865-095a3638e9b8.extra_data.json,aZEautf6/t,7200,com.sec.android.app.shealth,1228464,19860000,a10f44dd-48f3-4cd5-9865-095a3638e9b8,1674518400000,
1046,697415,90,0,2023-01-26 17:10:36.351,2023-01-26 17:10:32.563,-1,34684,12,769.4901,51.989998,6a2ddd71-df1e-473e-88b9-e92dee0774ab.extra_data.json,aZEautf6/t,400,com.sec.android.app.shealth,697015,18360000,6a2ddd71-df1e-473e-88b9-e92dee0774ab,1674604800000,
0,0,90,0,2023-01-26 17:10:32.411,2023-01-26 17:10:32.411,-1,0,0,0.0,0.0,0a044247-2525-4bfa-8635-292312d18185.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,0a044247-2525-4bfa-8635-292312d18185,1674259200000,
836,556277,90,0,2023-01-28 19:16:10.174,2023-01-27 06:00:00.790,-1,33350,10,619.0503,41.630016,5c80bce5-ad68-444d-b1d2-2328c701eb44.extra_data.json,aZEautf6/t,2000,com.sec.android.app.shealth,554277,23940000,5c80bce5-ad68-444d-b1d2-2328c701eb44,1674777600000,
812,540536,90,0,2023-01-30 15:26:43.841,2023-01-29 06:00:01.133,-1,27347,8,604.79,39.599922,a986c80c-ee2e-4387-a33e-4c9f1b8a4acb.extra_data.json,aZEautf6/t,1600,com.sec.android.app.shealth,538936,19800000,a986c80c-ee2e-4387-a33e-4c9f1b8a4acb,1674950400000,
3449,2226634,90,0,2023-02-02 09:38:09.776,2023-02-01 06:00:00.560,-1,180000,41,2578.149,137.83992,b7ebe249-5426-4ebe-ae20-e60272f65da9.extra_data.json,aZEautf6/t,4400,com.sec.android.app.shealth,2222234,10560000,b7ebe249-5426-4ebe-ae20-e60272f65da9,1675209600000,
2554,1635964,90,0,2023-01-26 17:10:36.292,2023-01-26 17:10:32.495,-1,240000,30,1935.62,82.289955,65470e6f-2633-4465-a68b-a013e18171f4.extra_data.json,aZEautf6/t,14000,com.sec.android.app.shealth,1621964,13680000,65470e6f-2633-4465-a68b-a013e18171f4,1674432000000,
1235,821876,90,0,2023-02-01 08:16:50.327,2023-01-31 06:00:00.446,-1,40020,14,919.91986,57.079845,728407ae-33e7-4223-b8e9-1b492d07c563.extra_data.json,aZEautf6/t,2800,com.sec.android.app.shealth,819076,18240000,728407ae-33e7-4223-b8e9-1b492d07c563,1675123200000,
1458,928695,90,0,2023-02-03 05:49:55.142,2023-02-02 06:00:01.923,-1,60000,16,1106.361,67.72987,4a1216e3-59a1-4e19-85b2-df23e5e2be4f.extra_data.json,aZEautf6/t,11600,com.sec.android.app.shealth,917095,47040000,4a1216e3-59a1-4e19-85b2-df23e5e2be4f,1675296000000,
2883,1849273,90,0,2023-02-08 07:26:13.072,2023-02-07 06:00:01.311,-1,120000,33,2149.6902,118.96996,cb1ff1d3-a710-429d-8265-f161810ebd9e.extra_data.json,aZEautf6/t,9200,com.sec.android.app.shealth,1840073,14760000,cb1ff1d3-a710-429d-8265-f161810ebd9e,1675728000000,
1322,871628,90,0,2023-02-05 15:24:11.292,2023-02-04 06:00:00.813,-1,60000,15,994.85126,58.629852,a524398b-c57a-4582-8d2e-10ffdad1df8e.extra_data.json,aZEautf6/t,15200,com.sec.android.app.shealth,856428,24420000,a524398b-c57a-4582-8d2e-10ffdad1df8e,1675468800000,
3478,2255450,90,0,2023-01-29 09:29:24.108,2023-01-28 06:00:26.729,-1,180000,41,2610.4197,173.65,73b69360-bb5f-448a-90e7-c1a6381eef35.extra_data.json,aZEautf6/t,1200,com.sec.android.app.shealth,2254250,30840000,73b69360-bb5f-448a-90e7-c1a6381eef35,1674864000000,
2822,1793113,90,0,2023-01-31 14:49:58.198,2023-01-30 06:00:00.767,-1,120000,32,2111.44,140.92986,3617a723-b964-49f8-ae65-29e6697f81e1.extra_data.json,aZEautf6/t,7066,com.sec.android.app.shealth,1786047,24480000,3617a723-b964-49f8-ae65-29e6697f81e1,1675036800000,
722,480239,90,0,2023-02-09 05:23:28.255,2023-02-08 06:00:01.616,-1,36018,7,535.3406,34.53995,9e5e69ad-0d41-4a8e-8215-93418f1093f2.extra_data.json,aZEautf6/t,2000,com.sec.android.app.shealth,478239,16380000,9e5e69ad-0d41-4a8e-8215-93418f1093f2,1675814400000,
2041,1359478,90,0,2023-02-07 07:30:33.366,2023-02-06 06:00:01.153,-1,38019,24,1519.1597,98.39001,b2aec26f-cd36-4085-aa9a-7fc0f9077435.extra_data.json,aZEautf6/t,2800,com.sec.android.app.shealth,1356678,19440000,b2aec26f-cd36-4085-aa9a-7fc0f9077435,1675641600000,
1139,759713,90,0,2023-02-11 11:00:40.958,2023-02-10 06:00:00.998,-1,28681,13,843.40985,46.530025,a2ed5618-d34b-4428-a556-84cf663176f1.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,759713,15480000,a2ed5618-d34b-4428-a556-84cf663176f1,1675987200000,
878,585092,90,0,2023-02-04 03:37:06.279,2023-02-03 06:00:01.371,-1,32683,10,649.39075,41.54993,e066d971-e6e4-4468-b9c6-4cf9e949851b.extra_data.json,aZEautf6/t,800,com.sec.android.app.shealth,584292,20220000,e066d971-e6e4-4468-b9c6-4cf9e949851b,1675382400000,
3438,2220389,90,0,2023-02-14 10:25:40.754,2023-02-13 06:00:01.668,-1,240000,40,2598.8232,174.61987,3a220bc7-579d-4f96-b0f1-bada0f2de4f2.extra_data.json,aZEautf6/t,14800,com.sec.android.app.shealth,2205589,17280000,3a220bc7-579d-4f96-b0f1-bada0f2de4f2,1676246400000,
1106,735833,90,0,2023-02-06 05:27:54.860,2023-02-05 06:00:02.001,-1,37352,13,829.3099,53.45002,b5f14c49-03d7-4f0b-a855-7d8a9d1ba907.extra_data.json,aZEautf6/t,2800,com.sec.android.app.shealth,733033,20700000,b5f14c49-03d7-4f0b-a855-7d8a9d1ba907,1675555200000,
1368,910320,90,0,2023-02-15 13:38:55.013,2023-02-14 06:00:01.117,-1,35351,16,1012.26996,67.99988,8b181768-0d25-41bd-bbc0-85e2fe803b51.extra_data.json,aZEautf6/t,3200,com.sec.android.app.shealth,907120,29820000,8b181768-0d25-41bd-bbc0-85e2fe803b51,1676332800000,
2541,1665568,90,0,2023-02-13 10:25:17.492,2023-02-12 06:00:01.522,-1,60000,30,1929.8204,128.99982,a2683871-66b9-4e35-9340-285f7057c8d8.extra_data.json,aZEautf6/t,8800,com.sec.android.app.shealth,1656768,17820000,a2683871-66b9-4e35-9340-285f7057c8d8,1676160000000,
698,465566,90,0,2023-02-17 13:13:43.260,2023-02-16 06:04:35.517,-1,29348,7,517.2399,34.609943,5d6cda20-6c87-4d9d-9f5f-b7ee519a018b.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,465566,14880000,5d6cda20-6c87-4d9d-9f5f-b7ee519a018b,1676505600000,
2974,2135142,90,0,2023-02-20 04:25:24.273,2023-02-19 06:00:00.825,-1,726837,38,2240.7156,186.58788,bad18bf7-23cd-453e-a05c-0ab637ef1629.extra_data.json,aZEautf6/t,9600,com.sec.android.app.shealth,2125542,9660000,bad18bf7-23cd-453e-a05c-0ab637ef1629,1676764800000,
2209,1454425,90,0,2023-02-10 16:08:29.513,2023-02-09 06:00:00.358,-1,120000,26,1653.6901,97.02999,a56e1b3b-6f47-49f4-bf6e-35ffe21df40e.extra_data.json,aZEautf6/t,10400,com.sec.android.app.shealth,1444025,19140000,a56e1b3b-6f47-49f4-bf6e-35ffe21df40e,1675900800000,
3516,2312865,90,0,2023-02-19 08:34:27.305,2023-02-18 06:00:12.117,-1,60000,41,2666.8396,183.07013,128f638f-2256-41cd-bc93-5573126a9073.extra_data.json,aZEautf6/t,48400,com.sec.android.app.shealth,2264465,15420000,128f638f-2256-41cd-bc93-5573126a9073,1676678400000,
1534,1016770,90,0,2023-02-23 08:09:20.007,2023-02-22 06:19:47.886,-1,44689,17,1142.1218,78.05037,bc70be78-0f38-45b0-a086-300c93fb91bc.extra_data.json,aZEautf6/t,9600,com.sec.android.app.shealth,1007170,15240000,bc70be78-0f38-45b0-a086-300c93fb91bc,1677024000000,
