com.samsung.shealth.tracker.pedometer_day_summary,6233003,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
836,ef099e25-69d4-4a6b-96db-e2c54ace535f.binning_data.json,516421,6000,5,2023-01-28 19:16:10.446,com.sec.android.app.shealth,2023-01-27 08:27:14.571,ef099e25-69d4-4a6b-96db-e2c54ace535f.source_info.json,1.1987317,619.0504,41.63001,831,VfS0qUERdZ,com.sec.android.app.shealth,0,ef099e25-69d4-4a6b-96db-e2c54ace535f.achievement.json,ef099e25-69d4-4a6b-96db-e2c54ace535f,1674777600000,
807,466ece32-d5eb-41be-9f56-3033255f9cd2.binning_data.json,494454,6000,5,2023-01-29 06:00:02.766,com.sec.android.app.shealth,2023-01-28 06:00:28.462,,1.2111543,598.8604,40.140007,802,iRIQdWw88T,com.sec.android.app.shealth,0,466ece32-d5eb-41be-9f56-3033255f9cd2.achievement.json,466ece32-d5eb-41be-9f56-3033255f9cd2,1674777600000,
3478,b2bcb609-62e2-4d96-9466-a97649d991c8.binning_data.json,2067560,6000,3,2023-01-29 09:29:24.415,com.sec.android.app.shealth,2023-01-28 19:16:10.135,b2bcb609-62e2-4d96-9466-a97649d991c8.source_info.json,1.2625602,2610.4197,173.65,3475,VfS0qUERdZ,com.sec.android.app.shealth,0,b2bcb609-62e2-4d96-9466-a97649d991c8.achievement.json,b2bcb609-62e2-4d96-9466-a97649d991c8,1674864000000,
1867,670b37cb-8689-4f67-aff1-f85a5375a536.binning_data.json,1078787,6000,20,2023-02-01 06:00:02.197,com.sec.android.app.shealth,2023-01-31 06:00:01.894,,1.3073003,1410.2994,93.559875,1847,iRIQdWw88T,com.sec.android.app.shealth,0,670b37cb-8689-4f67-aff1-f85a5375a536.achievement.json,670b37cb-8689-4f67-aff1-f85a5375a536,1675036800000,
73,eab75dba-c469-4d69-828f-59c0dd25ab21.binning_data.json,47493,6000,0,2023-01-30 06:00:01.297,com.sec.android.app.shealth,2023-01-30 06:00:01.297,,1.1388888,54.09,3.6,73,aZEautf6/t,com.sec.android.app.shealth,0,eab75dba-c469-4d69-828f-59c0dd25ab21.achievement.json,eab75dba-c469-4d69-828f-59c0dd25ab21,1674950400000,
801,5bdfe755-bae6-4895-8ca5-765cf6f7ad57.binning_data.json,480935,6000,4,2023-01-31 06:00:01.901,com.sec.android.app.shealth,2023-01-30 06:00:02.311,,1.2385648,595.67,39.00992,797,iRIQdWw88T,com.sec.android.app.shealth,0,5bdfe755-bae6-4895-8ca5-765cf6f7ad57.achievement.json,5bdfe755-bae6-4895-8ca5-765cf6f7ad57,1674950400000,
812,dfcd0ed6-4cd2-44e2-acf0-205111b06a04.binning_data.json,489416,6000,4,2023-01-30 15:26:44.052,com.sec.android.app.shealth,2023-01-29 09:29:24.123,dfcd0ed6-4cd2-44e2-acf0-205111b06a04.source_info.json,1.2357378,604.79,39.59992,808,VfS0qUERdZ,com.sec.android.app.shealth,0,dfcd0ed6-4cd2-44e2-acf0-205111b06a04.achievement.json,dfcd0ed6-4cd2-44e2-acf0-205111b06a04,1674950400000,
2071,eb93f97f-922a-449a-836d-3a6971ce4994.binning_data.json,1267325,6000,0,2023-01-31 06:00:00.971,com.sec.android.app.shealth,2023-01-31 06:00:00.971,,1.2256676,1553.32,102.75001,2071,aZEautf6/t,com.sec.android.app.shealth,0,eb93f97f-922a-449a-836d-3a6971ce4994.achievement.json,eb93f97f-922a-449a-836d-3a6971ce4994,1675036800000,
2847,2c10c72f-a72b-49a9-931a-fdbdb65841ef.binning_data.json,1675224,6000,17,2023-02-03 06:00:03.048,com.sec.android.app.shealth,2023-02-02 06:00:03.663,,1.2737736,2133.8567,143.34966,2830,iRIQdWw88T,com.sec.android.app.shealth,0,2c10c72f-a72b-49a9-931a-fdbdb65841ef.achievement.json,2c10c72f-a72b-49a9-931a-fdbdb65841ef,1675209600000,
340,103d0d5f-09a1-4bb2-9cd8-a05be0ea9559.binning_data.json,212064,6000,0,2023-02-01 06:00:01.031,com.sec.android.app.shealth,2023-02-01 06:00:01.031,,1.18799,251.93001,10.88,340,aZEautf6/t,com.sec.android.app.shealth,0,103d0d5f-09a1-4bb2-9cd8-a05be0ea9559.achievement.json,103d0d5f-09a1-4bb2-9cd8-a05be0ea9559,1675123200000,
