com.samsung.shealth.tracker.pedometer_step_count,6227003,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
57017,4,0,91,2023-01-23 00:08:00.000,,,2023-01-23 00:15:00.433,2023-01-23 00:15:00.433,91,1.1666666,66.52,3.82,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 00:09:00.000,58ca5d24-139c-485d-bf6c-86b49017cdd1,
4765,4,0,11,2023-01-23 04:34:00.000,,,2023-01-23 04:34:36.953,2023-01-23 04:34:36.953,11,1.8611112,8.87,0.34,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 04:35:00.000,c5380997-d88a-4851-9a2e-e6bfcb44c010,
40479,4,0,66,2023-01-23 01:14:00.000,,,2023-01-23 01:15:00.086,2023-01-23 01:15:00.086,66,1.1944444,48.35,2.44,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:15:00.000,45c78854-dbb8-481d-b058-82ad2e5b02f5,
6011,4,0,10,2023-01-23 00:07:00.000,,,2023-01-23 00:15:00.313,2023-01-23 00:15:00.313,10,1.1944444,7.18,0.41,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 00:08:00.000,5d2db3ff-18c9-494d-8196-d7ba191380b4,
1877,4,0,3,2023-01-23 05:08:00.000,,,2023-01-23 05:08:33.939,2023-01-23 05:08:33.939,3,1.1666666,2.19,0.09,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 05:09:00.000,ab05d395-74f7-480d-b86a-9edbbd2ab046,
59642,4,0,97,2023-01-23 01:24:00.000,,,2023-01-23 01:25:02.187,2023-01-23 01:25:02.187,97,1.1944444,71.24,3.57,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:25:00.000,99367708-dde6-4fb7-a4e3-dff44d43cb05,
4956,4,0,11,2023-01-23 09:09:00.000,,,2023-01-23 09:15:00.083,2023-01-23 09:15:00.083,11,1.8055556,8.95,0.33,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 09:10:00.000,b64a5af0-e459-41f8-ad50-089918244eb2,
43659,4,0,67,2023-01-23 01:32:00.000,,,2023-01-23 01:34:31.402,2023-01-23 01:34:31.402,67,1.111111,48.51,2.61,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:33:00.000,96578d19-dea4-4cce-88ab-a22ae93f9f9a,
44816,4,0,65,2023-01-23 01:25:00.000,,,2023-01-23 01:34:30.816,2023-01-23 01:25:02.255,65,1.0375568,46.5,2.48,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:26:00.000,1e26a5ca-f741-4539-aabd-836816564903,
50846,4,0,95,2023-01-23 10:21:00.000,,,2023-01-23 10:32:31.732,2023-01-23 10:21:28.578,95,1.4392288,73.18005,2.9299998,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:22:00.000,b0346ac0-c203-4c38-8b24-211b7bc247e2,
6343,4,0,13,2023-01-23 01:45:00.000,,,2023-01-23 01:46:28.557,2023-01-23 01:46:28.557,13,1.6111112,10.22,0.52,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:46:00.000,eedef14a-4144-4c68-94d8-628153b8c60c,
2763,4,0,12,2023-01-23 10:39:00.000,,,2023-01-23 10:54:59.807,2023-01-23 10:54:59.807,12,3.6111112,9.98,0.25,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:40:00.000,b79c27d9-e81c-40ca-8edc-5f558509a486,
16102,4,0,26,2023-01-23 01:13:00.000,,,2023-01-23 01:13:34.793,2023-01-23 01:13:00.488,26,1.1687897,18.820007,0.9300022,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:14:00.000,7277587e-8f75-477c-884d-40587a3c3c72,
10738,4,0,15,2023-01-23 02:14:00.000,,,2023-01-23 02:15:00.875,2023-01-23 02:15:00.875,15,0.9722222,10.44,0.54,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 02:15:00.000,53ac7bf6-e93e-41db-b329-c86082c4e8f5,
12761,4,0,23,2023-01-23 10:48:00.000,,,2023-01-23 10:58:23.387,2023-01-23 10:58:23.387,23,1.3611112,17.37,0.83,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:49:00.000,e78dd72b-e8a7-4ae5-b2a4-666202d9bf9f,
8134,4,0,13,2023-01-23 01:33:00.000,,,2023-01-23 01:34:31.451,2023-01-23 01:34:31.451,13,1.1666666,9.49,0.47,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:34:00.000,72c6dc09-9ded-4814-82bd-d32d401d6ce0,
36502,4,4,60,2023-01-23 10:58:00.000,,,2023-01-23 11:01:05.654,2023-01-23 10:58:23.845,64,1.3333334,48.670002,2.27,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 10:59:00.000,ce5d2fe0-93d4-428d-92da-f306f5416478,
21344,4,0,32,2023-01-23 01:23:00.000,,,2023-01-23 01:25:01.988,2023-01-23 01:25:01.988,32,1.0555556,22.53,1.15,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 01:24:00.000,7111584f-a329-43c6-83d1-02c7fd537872,
6140,4,0,12,2023-01-23 04:43:00.000,,,2023-01-23 04:43:18.850,2023-01-23 04:43:18.850,12,1.5,9.21,0.38,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 04:44:00.000,aa45cc70-e765-4bde-bb8e-8b2ef8caacbf,
8578,4,0,12,2023-01-23 15:39:00.000,,,2023-01-23 15:46:41.243,2023-01-23 15:46:41.243,12,0.9722222,8.34,0.39,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 15:40:00.000,9b83f987-615b-449d-8a73-037f45078680,
27309,4,0,49,2023-01-23 05:29:00.000,,,2023-01-23 05:37:09.413,2023-01-23 05:37:09.413,49,1.3888888,37.93,1.53,UTC-0600,iRIQdWw88T,com.sec.android.app.shealth,2023-01-23 05:30:00.000,e1f2a936-d512-4225-9347-d49bb346e195,
