com.samsung.shealth.activity.day_summary,6227003,3
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
2554,1635964,90,0,2023-01-24 03:12:11.646,2023-01-24 02:16:22.463,-1,240000,30,1935.62,82.289955,fb07f24d-8239-49ff-b5d0-6fae36e9d82d.extra_data.json,aZEautf6/t,14000,com.sec.android.app.shealth,1621964,13680000,fb07f24d-8239-49ff-b5d0-6fae36e9d82d,1674432000000,
0,0,90,0,2023-01-24 02:16:22.557,2023-01-24 02:16:22.557,-1,0,0,0.0,0.0,99a1e0c9-3aa1-467a-93d2-6dc2777f5bf2.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,99a1e0c9-3aa1-467a-93d2-6dc2777f5bf2,1672099200000,
0,0,90,0,2023-01-24 02:16:22.620,2023-01-24 02:16:22.620,-1,0,0,0.0,0.0,d0680792-af9c-49c0-980f-68f5881453ab.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,d0680792-af9c-49c0-980f-68f5881453ab,1672185600000,
0,0,90,0,2023-01-24 02:16:22.689,2023-01-24 02:16:22.689,-1,0,0,0.0,0.0,75927c05-1d95-458c-b084-5f0b7ce27314.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,75927c05-1d95-458c-b084-5f0b7ce27314,1672272000000,
0,0,90,0,2023-01-24 02:16:22.910,2023-01-24 02:16:22.910,-1,0,0,0.0,0.0,f260c8ef-981b-4f71-a58b-1823417296d5.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,f260c8ef-981b-4f71-a58b-1823417296d5,1672531200000,
0,0,90,0,2023-01-24 02:16:22.846,2023-01-24 02:16:22.846,-1,0,0,0.0,0.0,3ecae2a8-90c3-4252-8ef9-58c529afce8c.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,3ecae2a8-90c3-4252-8ef9-58c529afce8c,1672444800000,
0,0,90,0,2023-01-24 02:16:22.776,2023-01-24 02:16:22.776,-1,0,0,0.0,0.0,d0560fde-2012-46b9-9f5e-52460fc9f779.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,d0560fde-2012-46b9-9f5e-52460fc9f779,1672358400000,
0,0,90,0,2023-01-24 02:16:23.166,2023-01-24 02:16:23.166,-1,0,0,0.0,0.0,4c86dfc8-29c7-4d9d-ae7a-eab2233bdeae.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,4c86dfc8-29c7-4d9d-ae7a-eab2233bdeae,1672704000000,
0,0,90,0,2023-01-24 02:16:23.346,2023-01-24 02:16:23.346,-1,0,0,0.0,0.0,fcddc281-a4d4-4ead-a18d-fe383d4f718e.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,fcddc281-a4d4-4ead-a18d-fe383d4f718e,1672790400000,
0,0,90,0,2023-01-24 02:16:23.612,2023-01-24 02:16:23.612,-1,0,0,0.0,0.0,a7a01389-7dc4-400a-9bfd-cc74eeaec488.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,a7a01389-7dc4-400a-9bfd-cc74eeaec488,1673049600000,
0,0,90,0,2023-01-24 02:16:23.454,2023-01-24 02:16:23.454,-1,0,0,0.0,0.0,1123a2f0-36e8-4f7c-8f8c-1903a576ce97.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,1123a2f0-36e8-4f7c-8f8c-1903a576ce97,1672876800000,
0,0,90,0,2023-01-24 02:16:23.017,2023-01-24 02:16:23.017,-1,0,0,0.0,0.0,d86a304f-370e-417d-957f-3aba6db15ce3.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,d86a304f-370e-417d-957f-3aba6db15ce3,1672617600000,
0,0,90,0,2023-01-24 02:16:23.538,2023-01-24 02:16:23.538,-1,0,0,0.0,0.0,4448eae5-0278-4ffb-b251-09e9e67f2757.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,4448eae5-0278-4ffb-b251-09e9e67f2757,1672963200000,
0,0,90,0,2023-01-24 02:16:23.712,2023-01-24 02:16:23.712,-1,0,0,0.0,0.0,f5ff2c1d-2392-4004-ae30-2630df81f0a4.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,f5ff2c1d-2392-4004-ae30-2630df81f0a4,1673222400000,
0,0,90,0,2023-01-24 02:16:23.748,2023-01-24 02:16:23.748,-1,0,0,0.0,0.0,0010d3e6-e70c-4650-b064-cf6bc70f71c4.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,0010d3e6-e70c-4650-b064-cf6bc70f71c4,1673308800000,
0,0,90,0,2023-01-24 02:16:23.860,2023-01-24 02:16:23.860,-1,0,0,0.0,0.0,adfe0be0-c532-4123-8432-289f9e502ab0.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,adfe0be0-c532-4123-8432-289f9e502ab0,1673568000000,
0,0,90,0,2023-01-24 02:16:23.788,2023-01-24 02:16:23.788,-1,0,0,0.0,0.0,199796df-66ac-4e29-bbe5-f9bde9850b99.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,199796df-66ac-4e29-bbe5-f9bde9850b99,1673395200000,
0,0,90,0,2023-01-24 02:16:23.820,2023-01-24 02:16:23.820,-1,0,0,0.0,0.0,f4186112-f9d2-49a2-af02-83241ed2e92d.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,f4186112-f9d2-49a2-af02-83241ed2e92d,1673481600000,
0,0,90,0,2023-01-24 02:16:23.673,2023-01-24 02:16:23.673,-1,0,0,0.0,0.0,334f03d9-9ffc-4c22-9944-b22d9298b218.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,334f03d9-9ffc-4c22-9944-b22d9298b218,1673136000000,
0,0,90,0,2023-01-24 02:16:24.002,2023-01-24 02:16:24.002,-1,0,0,0.0,0.0,dc841696-cba8-49a8-8c1d-300f45b5904c.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,dc841696-cba8-49a8-8c1d-300f45b5904c,1673827200000,
0,0,90,0,2023-01-24 02:16:23.948,2023-01-24 02:16:23.948,-1,0,0,0.0,0.0,54c970e5-c66c-4af6-b89f-d96f9773d917.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,54c970e5-c66c-4af6-b89f-d96f9773d917,1673740800000,
0,0,90,0,2023-01-24 02:16:24.028,2023-01-24 02:16:24.028,-1,0,0,0.0,0.0,910a63b3-ac35-49f5-b164-a0b25fb3f374.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,910a63b3-ac35-49f5-b164-a0b25fb3f374,1673913600000,
0,0,90,0,2023-01-24 02:16:24.094,2023-01-24 02:16:24.094,-1,0,0,0.0,0.0,8b31e736-731f-40e7-901d-b43007f849aa.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,8b31e736-731f-40e7-901d-b43007f849aa,1674086400000,
0,0,90,0,2023-01-24 02:16:24.053,2023-01-24 02:16:24.053,-1,0,0,0.0,0.0,020b20ad-5c06-4835-b753-e9c11adb0f03.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,020b20ad-5c06-4835-b753-e9c11adb0f03,1674000000000,
0,0,90,0,2023-01-24 02:16:23.901,2023-01-24 02:16:23.901,-1,0,0,0.0,0.0,1adc1ea2-dcc1-447a-b5b2-86160caf5894.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,1adc1ea2-dcc1-447a-b5b2-86160caf5894,1673654400000,
0,0,90,0,2023-01-24 02:16:24.166,2023-01-24 02:16:24.166,-1,0,0,0.0,0.0,c2e817ce-aea2-4a85-9f86-3d37b370e57f.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,c2e817ce-aea2-4a85-9f86-3d37b370e57f,1674259200000,
1813,1200137,90,0,2023-01-24 03:05:50.473,2023-01-24 02:16:24.193,-1,60000,21,1341.0599,65.95002,913d7467-a4f3-41d2-916f-3df21b2c383f.extra_data.json,aZEautf6/t,5600,com.sec.android.app.shealth,1194537,59520000,913d7467-a4f3-41d2-916f-3df21b2c383f,1674345600000,
0,0,90,0,2023-01-24 02:16:24.138,2023-01-24 02:16:24.138,-1,0,0,0.0,0.0,a9d19582-69f5-41b3-887f-110dffbe4b07.extra_data.json,aZEautf6/t,0,com.sec.android.app.shealth,0,-1,a9d19582-69f5-41b3-887f-110dffbe4b07,1674172800000,
