com.samsung.shealth.social.leaderboard,6227003,1
update_time,create_time,my_value,body,type,deviceuuid,pkg_name,last_sync_time,datauuid
2023-01-24 03:05:50.287,2023-01-24 03:05:50.287,100,8e45441b-552b-4511-bf51-2fe16b347c7b.body.json,102,aZEautf6/t,com.sec.android.app.shealth,1674529550255,8e45441b-552b-4511-bf51-2fe16b347c7b,
2023-01-24 03:05:50.327,2023-01-24 03:05:50.327,100,f060227a-baa2-4e2d-8c6a-0f8ce9be42fb.body.json,101,aZEautf6/t,com.sec.android.app.shealth,1674529550257,f060227a-baa2-4e2d-8c6a-0f8ce9be42fb,
2023-01-24 03:05:50.415,2023-01-24 03:05:50.415,1,da3fc20c-e4e8-453d-b533-17ff6355ea02.body.json,200,aZEautf6/t,com.sec.android.app.shealth,1674529550341,da3fc20c-e4e8-453d-b533-17ff6355ea02,
