F0:F2:5B:20:91:AD,name
datetime,value
2023-01-26 11:52:18.692000,27.0
2023-01-26 11:52:19.691000,27.0
2023-01-26 11:52:20.691000,26.875
2023-01-26 11:52:21.692000,27.0
2023-01-26 11:52:22.691000,26.875
2023-01-26 11:52:23.691000,27.0
2023-01-26 11:52:24.690000,27.0
2023-01-26 11:52:25.691000,27.0
2023-01-26 11:52:26.691000,26.875
2023-01-26 11:52:27.690000,27.0
2023-01-26 11:52:28.691000,26.875
2023-01-26 11:52:29.691000,27.0
2023-01-26 11:52:30.690000,27.0
2023-01-26 11:52:31.691000,27.0
2023-01-26 11:52:32.690000,26.875
2023-01-26 11:52:33.690000,27.0
2023-01-26 11:52:34.691000,26.875
2023-01-26 11:52:35.690000,26.875
2023-01-26 11:52:36.690000,26.875
2023-01-26 11:52:37.691000,26.875
2023-01-26 11:52:38.690000,27.0
2023-01-26 11:52:39.690000,26.75
2023-01-26 11:52:40.689000,26.875
2023-01-26 11:52:41.690000,26.875
2023-01-26 11:52:42.690000,26.875
2023-01-26 11:52:43.689000,26.75
2023-01-26 11:52:44.690000,26.75
2023-01-26 11:52:45.690000,26.75
2023-01-26 11:52:46.689000,26.875
2023-01-26 11:52:47.690000,27.0
2023-01-26 11:52:48.689000,26.75
2023-01-26 11:52:49.689000,26.75
2023-01-26 11:52:50.690000,27.0
2023-01-26 11:52:51.689000,27.0
2023-01-26 11:52:52.689000,26.875
2023-01-26 11:52:53.690000,26.625
2023-01-26 11:52:54.689000,27.0
2023-01-26 11:52:55.689000,26.75
2023-01-26 11:52:56.688000,26.625
2023-01-26 11:52:57.689000,26.75
2023-01-26 11:52:58.689000,26.875
2023-01-26 11:52:59.688000,26.75
2023-01-26 11:53:00.689000,26.75
2023-01-26 11:53:01.689000,26.75
2023-01-26 11:53:02.688000,26.875
2023-01-26 11:53:03.689000,26.75
2023-01-26 11:53:04.688000,26.5
2023-01-26 11:53:05.688000,26.625
2023-01-26 11:53:06.689000,26.875
2023-01-26 11:53:07.688000,26.75
2023-01-26 11:53:08.688000,26.75
2023-01-26 11:53:09.689000,26.625
2023-01-26 11:53:10.688000,26.625
2023-01-26 11:53:11.688000,27.0
2023-01-26 11:53:12.687000,26.75
2023-01-26 11:53:13.688000,26.625
2023-01-26 11:53:14.688000,26.625
2023-01-26 11:53:15.687000,26.875
2023-01-26 11:53:16.688000,26.625
2023-01-26 11:53:17.688000,26.625
2023-01-26 11:53:18.687000,26.75
2023-01-26 11:53:19.688000,26.625
2023-01-26 11:53:20.687000,26.75
2023-01-26 11:53:21.687000,26.625
2023-01-26 11:53:22.688000,26.625
2023-01-26 11:53:23.687000,26.875
2023-01-26 11:53:24.687000,26.75
2023-01-26 11:53:25.688000,26.75
2023-01-26 11:53:26.687000,26.625
2023-01-26 11:53:27.687000,26.625
2023-01-26 11:53:28.686000,26.625
2023-01-26 11:53:29.687000,26.625
2023-01-26 11:53:30.687000,26.75
2023-01-26 11:53:31.686000,26.75
2023-01-26 11:53:32.687000,26.875
2023-01-26 11:53:33.687000,26.625
2023-01-26 11:53:34.686000,26.75
2023-01-26 11:53:35.687000,26.75
2023-01-26 11:53:36.686000,26.875
2023-01-26 11:53:37.686000,26.375
2023-01-26 11:53:38.687000,26.75
2023-01-26 11:53:39.686000,26.75
2023-01-26 11:53:40.686000,26.75
2023-01-26 11:53:41.687000,26.75
2023-01-26 11:53:42.686000,26.875
2023-01-26 11:53:43.686000,26.75
2023-01-26 11:53:44.685000,26.5
2023-01-26 11:53:45.686000,26.5
2023-01-26 11:53:46.686000,26.5
2023-01-26 11:53:47.685000,26.625
2023-01-26 11:53:48.686000,26.75
2023-01-26 11:53:49.686000,26.625
2023-01-26 11:53:50.685000,26.625
2023-01-26 11:53:51.686000,26.75
2023-01-26 11:53:52.685000,26.625
2023-01-26 11:53:53.685000,26.5
2023-01-26 11:53:54.686000,26.5
2023-01-26 11:53:55.685000,26.75
2023-01-26 11:53:56.685000,26.75
2023-01-26 11:53:57.686000,26.625
2023-01-26 11:53:58.685000,26.625
2023-01-26 11:53:59.685000,26.75
2023-01-26 11:54:00.684000,26.625
2023-01-26 11:54:01.685000,26.625
2023-01-26 11:54:02.685000,26.875
2023-01-26 11:54:03.684000,26.625
2023-01-26 11:54:04.685000,26.75
2023-01-26 11:54:05.685000,26.75
2023-01-26 11:54:06.684000,26.75
2023-01-26 11:54:07.685000,26.625
2023-01-26 11:54:08.684000,26.625
2023-01-26 11:54:09.684000,26.875
2023-01-26 11:54:10.685000,26.75
2023-01-26 11:54:11.684000,26.375
2023-01-26 11:54:12.684000,26.5
2023-01-26 11:54:13.685000,26.625
2023-01-26 11:54:14.684000,26.375
2023-01-26 11:54:15.684000,26.625
2023-01-26 11:54:16.683000,26.75
2023-01-26 11:54:17.684000,26.625
2023-01-26 11:54:18.684000,26.75
2023-01-26 11:54:19.683000,26.75
2023-01-26 11:54:20.684000,26.875
2023-01-26 11:54:21.684000,26.625
2023-01-26 11:54:22.683000,26.75
2023-01-26 11:54:23.684000,26.75
2023-01-26 11:54:24.683000,26.5
2023-01-26 11:54:25.683000,26.625
2023-01-26 11:54:26.684000,26.625
2023-01-26 11:54:27.683000,26.625
2023-01-26 11:54:28.683000,26.75
2023-01-26 11:54:29.684000,26.5
2023-01-26 11:54:30.683000,26.625
2023-01-26 11:54:31.683000,26.625
2023-01-26 11:54:32.682000,26.625
2023-01-26 11:54:33.683000,26.625
