FA:30:6C:FE:9A:40,name
datetime,value
2023-01-26 11:56:50.416000,2323
2023-01-26 11:56:50.416000,2323
2023-01-26 11:56:51.416000,2323
2023-01-26 11:56:52.415000,2323
2023-01-26 11:56:53.416000,2323
2023-01-26 11:56:54.415000,2323
2023-01-26 11:56:55.415000,2323
2023-01-26 11:56:56.414000,2323
2023-01-26 11:56:57.415000,2323
2023-01-26 11:56:58.414000,0
2023-01-26 11:56:59.414000,948
2023-01-26 11:57:00.413000,0
2023-01-26 11:57:01.414000,0
2023-01-26 11:57:02.413000,1066
2023-01-26 11:57:03.413000,1066
2023-01-26 11:57:04.412000,948
2023-01-26 11:57:05.413000,1185
2023-01-26 11:57:06.412000,1185
2023-01-26 11:57:07.412000,829
2023-01-26 11:57:08.411000,948
2023-01-26 11:57:09.412000,1896
2023-01-26 11:57:10.411000,3061
2023-01-26 11:57:11.411000,0
2023-01-26 11:57:12.410000,0
2023-01-26 11:57:13.411000,0
2023-01-26 11:57:14.410000,0
2023-01-26 11:57:15.410000,0
2023-01-26 11:57:16.409000,0
2023-01-26 11:57:17.410000,829
2023-01-26 11:57:18.409000,829
2023-01-26 11:57:19.409000,829
2023-01-26 11:57:20.408000,829
2023-01-26 11:57:21.409000,0
2023-01-26 11:57:22.408000,948
2023-01-26 11:57:23.408000,1066
2023-01-26 11:57:24.407000,1066
2023-01-26 11:57:25.408000,1066
2023-01-26 11:57:26.407000,1066
2023-01-26 11:57:27.407000,1066
2023-01-26 11:57:28.406000,1066
2023-01-26 11:57:29.407000,1066
2023-01-26 11:57:30.406000,1066
2023-01-26 11:57:31.406000,1066
2023-01-26 11:57:32.405000,1066
2023-01-26 11:57:33.406000,1066
2023-01-26 11:57:34.405000,1066
2023-01-26 11:57:35.405000,1066
2023-01-26 11:57:36.404000,1066
2023-01-26 11:57:37.405000,1066
2023-01-26 11:57:38.404000,1066
2023-01-26 11:57:39.404000,1066
2023-01-26 11:57:40.403000,1066
2023-01-26 11:57:41.404000,1066
2023-01-26 11:57:42.403000,1066
2023-01-26 11:57:43.403000,1066
2023-01-26 11:57:44.402000,1066
2023-01-26 11:57:45.403000,1066
