FA:30:6C:FE:9A:40,name
datetime,value
2023-01-26 11:58:11.827000,{x : 0.392, y : 0.946, z : -0.005}
2023-01-26 11:58:13.102000,{x : 0.399, y : 0.944, z : -0.005}
2023-01-26 11:58:14.376000,{x : 0.396, y : 0.945, z : -0.007}
2023-01-26 11:58:15.650000,{x : 0.386, y : 0.936, z : -0.008}
2023-01-26 11:58:16.925000,{x : 0.399, y : 0.940, z : -0.009}
2023-01-26 11:58:18.199000,{x : 0.393, y : 0.945, z : -0.014}
2023-01-26 11:58:19.474000,{x : 0.387, y : 0.943, z : -0.002}
2023-01-26 11:58:20.748000,{x : 0.388, y : 0.937, z : -0.008}
2023-01-26 11:58:22.022000,{x : 0.397, y : 0.936, z : -0.002}
2023-01-26 11:58:23.297000,{x : 0.397, y : 0.938, z : -0.010}
2023-01-26 11:58:24.571000,{x : 0.396, y : 0.944, z : -0.006}
2023-01-26 11:58:25.846000,{x : 0.403, y : 0.942, z : -0.016}
2023-01-26 11:58:27.120000,{x : 0.394, y : 0.938, z : 0.001}
2023-01-26 11:58:28.395000,{x : 0.402, y : 0.948, z : -0.015}
2023-01-26 11:58:29.669000,{x : 0.394, y : 0.944, z : -0.017}
2023-01-26 11:58:30.943000,{x : 0.388, y : 0.941, z : -0.005}
2023-01-26 11:58:32.218000,{x : 0.398, y : 0.939, z : -0.010}
2023-01-26 11:58:33.492000,{x : 0.395, y : 0.935, z : -0.013}
2023-01-26 11:58:34.767000,{x : 0.392, y : 0.944, z : -0.018}
2023-01-26 11:58:36.041000,{x : 0.393, y : 0.935, z : 0.012}
2023-01-26 11:58:37.315000,{x : 0.387, y : 0.949, z : 0.010}
2023-01-26 11:58:38.590000,{x : 0.386, y : 0.966, z : -0.083}
2023-01-26 11:58:39.866000,{x : 0.362, y : 0.740, z : 0.082}
2023-01-26 11:58:41.140000,{x : 0.140, y : 1.120, z : -0.216}
2023-01-26 11:58:42.415000,{x : 0.052, y : 1.199, z : -0.132}
2023-01-26 11:58:43.689000,{x : -0.003, y : 1.315, z : -0.195}
2023-01-26 11:58:44.963000,{x : -0.169, y : 0.989, z : -0.232}
2023-01-26 11:58:46.238000,{x : 0.105, y : 0.995, z : -0.218}
2023-01-26 11:58:47.512000,{x : 0.044, y : 1.015, z : -0.266}
2023-01-26 11:58:48.787000,{x : -0.095, y : 1.005, z : -0.278}
2023-01-26 11:58:50.061000,{x : -0.066, y : 1.012, z : -0.204}
2023-01-26 11:58:51.334000,{x : -0.153, y : 0.838, z : 0.205}
2023-01-26 11:58:52.608000,{x : -0.098, y : 0.799, z : -0.220}
2023-01-26 11:58:53.883000,{x : -0.008, y : 2.000, z : 0.288}
2023-01-26 11:58:55.157000,{x : 0.526, y : 1.760, z : 0.707}
2023-01-26 11:58:56.432000,{x : -0.309, y : 0.513, z : -0.620}
2023-01-26 11:58:57.706000,{x : -0.340, y : 1.030, z : 0.234}
2023-01-26 11:58:58.980000,{x : -0.018, y : 1.014, z : -0.173}
2023-01-26 11:59:00.255000,{x : 0.048, y : 0.997, z : -0.263}
2023-01-26 11:59:01.529000,{x : 0.055, y : 0.990, z : -0.348}
2023-01-26 11:59:02.804000,{x : -0.092, y : 1.026, z : -0.405}
2023-01-26 11:59:04.078000,{x : -0.009, y : 1.297, z : -0.071}
2023-01-26 11:59:05.353000,{x : -0.201, y : 1.609, z : -0.351}
2023-01-26 11:59:06.627000,{x : -0.482, y : 2.000, z : -0.609}
2023-01-26 11:59:07.901000,{x : 0.030, y : 1.257, z : 0.096}
2023-01-26 11:59:09.176000,{x : -0.033, y : 1.032, z : -0.101}
2023-01-26 11:59:10.450000,{x : -0.020, y : 0.989, z : -0.252}
2023-01-26 11:59:11.725000,{x : -0.033, y : 0.986, z : -0.249}
2023-01-26 11:59:12.999000,{x : -0.025, y : 0.986, z : -0.229}
2023-01-26 11:59:14.273000,{x : -0.028, y : 0.996, z : -0.231}
2023-01-26 11:59:15.548000,{x : -0.014, y : 1.013, z : -0.078}
2023-01-26 11:59:16.822000,{x : 0.002, y : 0.984, z : -0.226}
2023-01-26 11:59:18.097000,{x : 0.173, y : 0.985, z : 0.132}
2023-01-26 11:59:19.371000,{x : -1.045, y : 1.304, z : 0.866}
2023-01-26 11:59:20.646000,{x : 0.895, y : 1.667, z : -0.836}
2023-01-26 11:59:21.920000,{x : -0.010, y : 1.008, z : -0.143}
2023-01-26 11:59:23.194000,{x : 0.007, y : 0.985, z : -0.224}
2023-01-26 11:59:24.469000,{x : 0.063, y : 0.999, z : -0.215}
2023-01-26 11:59:25.743000,{x : -0.004, y : 0.993, z : -0.218}
2023-01-26 11:59:27.018000,{x : -0.017, y : 0.987, z : -0.240}
2023-01-26 11:59:28.292000,{x : -0.042, y : 0.985, z : -0.227}
2023-01-26 11:59:29.566000,{x : -0.087, y : 1.051, z : -0.176}
2023-01-26 11:59:30.841000,{x : -0.074, y : 0.985, z : -0.265}
2023-01-26 11:59:32.115000,{x : -0.211, y : 0.940, z : -0.228}
2023-01-26 11:59:33.390000,{x : 0.359, y : 0.967, z : -0.164}
2023-01-26 11:59:34.664000,{x : -0.176, y : 0.934, z : 0.070}
2023-01-26 11:59:35.938000,{x : -0.052, y : 0.706, z : -0.172}
2023-01-26 11:59:37.213000,{x : 0.141, y : 0.967, z : -0.400}
2023-01-26 11:59:38.487000,{x : -0.123, y : 0.950, z : -0.394}
2023-01-26 11:59:39.762000,{x : 0.320, y : 1.202, z : -0.301}
2023-01-26 11:59:41.036000,{x : 0.076, y : 1.198, z : -0.274}
2023-01-26 11:59:42.312000,{x : -0.026, y : 0.977, z : -0.342}
2023-01-26 11:59:43.586000,{x : -0.248, y : 0.891, z : -0.396}
2023-01-26 11:59:44.861000,{x : 0.124, y : 1.487, z : -0.098}
2023-01-26 11:59:46.135000,{x : -0.184, y : 0.503, z : 0.039}
2023-01-26 11:59:47.410000,{x : -0.020, y : 1.002, z : -0.288}
2023-01-26 11:59:48.684000,{x : -0.130, y : 0.992, z : -0.264}
2023-01-26 11:59:49.959000,{x : 0.253, y : 1.351, z : 0.136}
2023-01-26 11:59:51.233000,{x : 0.325, y : 1.093, z : -0.167}
2023-01-26 11:59:52.507000,{x : 0.037, y : 0.979, z : -0.289}
2023-01-26 11:59:53.782000,{x : -0.262, y : 0.920, z : -0.343}
2023-01-26 11:59:55.056000,{x : 0.141, y : 1.094, z : -0.096}
