FA:30:6C:FE:9A:40,name
datetime,value
2023-01-26 11:58:56.493000,23.375
2023-01-26 11:58:57.494000,23.5
2023-01-26 11:58:58.493000,23.25
2023-01-26 11:58:59.493000,23.5
2023-01-26 11:59:00.494000,23.5
2023-01-26 11:59:01.493000,23.25
2023-01-26 11:59:02.493000,23.5
2023-01-26 11:59:03.494000,23.375
2023-01-26 11:59:04.493000,23.375
2023-01-26 11:59:05.493000,23.375
2023-01-26 11:59:06.492000,23.625
2023-01-26 11:59:07.493000,23.375
2023-01-26 11:59:08.493000,23.375
2023-01-26 11:59:09.492000,23.375
2023-01-26 11:59:10.493000,23.5
2023-01-26 11:59:11.493000,23.375
2023-01-26 11:59:12.492000,23.375
2023-01-26 11:59:13.493000,23.5
2023-01-26 11:59:14.492000,23.625
2023-01-26 11:59:15.492000,23.25
2023-01-26 11:59:16.493000,23.25
2023-01-26 11:59:17.492000,23.375
2023-01-26 11:59:18.492000,23.5
2023-01-26 11:59:19.493000,23.25
2023-01-26 11:59:20.492000,23.375
2023-01-26 11:59:21.492000,23.375
2023-01-26 11:59:22.491000,23.375
2023-01-26 11:59:23.492000,23.25
2023-01-26 11:59:24.492000,23.375
2023-01-26 11:59:25.491000,23.25
2023-01-26 11:59:26.492000,23.375
2023-01-26 11:59:27.492000,23.25
2023-01-26 11:59:28.491000,23.375
2023-01-26 11:59:29.492000,23.25
2023-01-26 11:59:30.491000,23.125
2023-01-26 11:59:31.491000,23.125
2023-01-26 11:59:32.492000,23.125
2023-01-26 11:59:33.491000,23.375
2023-01-26 11:59:34.491000,23.375
2023-01-26 11:59:35.492000,23.25
2023-01-26 11:59:36.491000,23.125
2023-01-26 11:59:37.491000,23.375
2023-01-26 11:59:38.490000,23.25
2023-01-26 11:59:39.491000,23.25
2023-01-26 11:59:40.491000,23.25
2023-01-26 11:59:41.490000,23.25
2023-01-26 11:59:42.491000,23.25
2023-01-26 11:59:43.491000,23.125
2023-01-26 11:59:44.490000,23.375
2023-01-26 11:59:45.491000,23.125
2023-01-26 11:59:46.490000,23.25
2023-01-26 11:59:47.490000,23.25
2023-01-26 11:59:48.491000,23.25
2023-01-26 11:59:49.490000,23.25
2023-01-26 11:59:50.490000,23.125
2023-01-26 11:59:51.491000,23.125
2023-01-26 11:59:52.490000,23.25
2023-01-26 11:59:53.490000,23.125
2023-01-26 11:59:54.489000,23.25
2023-01-26 11:59:55.490000,23.125
2023-01-26 11:59:56.490000,23.25
2023-01-26 11:59:57.489000,23.25
2023-01-26 11:59:58.490000,23.25
2023-01-26 11:59:59.490000,23.25
2023-01-26 12:00:00.489000,23.125
2023-01-26 12:00:01.490000,23.25
