FF:30:2D:02:C6:4A,name
datetime,value
2023-01-26 11:56:24.373000,23.25
2023-01-26 11:56:25.373000,23.25
2023-01-26 11:56:26.373000,23.25
2023-01-26 11:56:27.372000,23.375
2023-01-26 11:56:28.373000,23.375
2023-01-26 11:56:29.373000,23.25
2023-01-26 11:56:30.372000,23.375
2023-01-26 11:56:31.373000,23.125
2023-01-26 11:56:32.373000,23.375
2023-01-26 11:56:33.372000,23.25
2023-01-26 11:56:34.373000,23.375
2023-01-26 11:56:35.372000,23.25
2023-01-26 11:56:36.372000,23.125
2023-01-26 11:56:37.373000,23.25
2023-01-26 11:56:38.372000,23.375
2023-01-26 11:56:39.372000,23.25
2023-01-26 11:56:40.373000,23.0
2023-01-26 11:56:41.372000,23.25
2023-01-26 11:56:42.372000,23.25
2023-01-26 11:56:43.371000,23.375
2023-01-26 11:56:44.372000,23.125
2023-01-26 11:56:45.372000,23.25
2023-01-26 11:56:46.371000,23.0
2023-01-26 11:56:47.372000,23.375
2023-01-26 11:56:48.372000,23.25
2023-01-26 11:56:49.371000,23.125
2023-01-26 11:56:50.372000,23.5
2023-01-26 11:56:51.371000,23.25
2023-01-26 11:56:52.371000,23.25
2023-01-26 11:56:53.372000,23.125
2023-01-26 11:56:54.371000,23.125
2023-01-26 11:56:55.371000,23.125
2023-01-26 11:56:56.372000,23.125
2023-01-26 11:56:57.371000,23.375
2023-01-26 11:56:58.371000,23.25
2023-01-26 11:56:59.370000,23.25
2023-01-26 11:57:00.371000,23.125
2023-01-26 11:57:01.371000,23.25
2023-01-26 11:57:02.370000,23.25
2023-01-26 11:57:03.371000,23.375
2023-01-26 11:57:04.371000,23.125
2023-01-26 11:57:05.370000,23.25
2023-01-26 11:57:06.371000,23.25
2023-01-26 11:57:07.370000,23.125
2023-01-26 11:57:08.370000,23.25
2023-01-26 11:57:09.371000,23.125
2023-01-26 11:57:10.370000,23.375
2023-01-26 11:57:11.370000,23.375
2023-01-26 11:57:12.371000,23.25
2023-01-26 11:57:13.370000,23.375
2023-01-26 11:57:14.370000,23.25
2023-01-26 11:57:15.369000,23.25
2023-01-26 11:57:16.370000,23.125
2023-01-26 11:57:17.370000,23.25
2023-01-26 11:57:18.369000,23.25
2023-01-26 11:57:19.370000,23.125
2023-01-26 11:57:20.370000,23.375
2023-01-26 11:57:21.369000,23.375
2023-01-26 11:57:22.370000,23.25
2023-01-26 11:57:23.369000,23.25
2023-01-26 11:57:24.369000,23.25
2023-01-26 11:57:25.370000,23.25
2023-01-26 11:57:26.369000,23.25
2023-01-26 11:57:27.369000,23.375
2023-01-26 11:57:28.370000,23.25
2023-01-26 11:57:29.369000,23.25
2023-01-26 11:57:30.369000,23.375
2023-01-26 11:57:31.368000,23.25
2023-01-26 11:57:32.369000,23.125
2023-01-26 11:57:33.369000,23.5
2023-01-26 11:57:34.368000,23.25
2023-01-26 11:57:35.369000,23.25
2023-01-26 11:57:36.369000,23.375
2023-01-26 11:57:37.368000,23.25
2023-01-26 11:57:38.369000,23.25
2023-01-26 11:57:39.368000,23.25
2023-01-26 11:57:40.368000,23.375
2023-01-26 11:57:41.369000,23.25
2023-01-26 11:57:42.368000,23.375
2023-01-26 11:57:43.368000,23.25
2023-01-26 11:57:44.369000,23.375
2023-01-26 11:57:45.368000,23.125
2023-01-26 11:57:46.368000,23.125
2023-01-26 11:57:47.367000,23.625
2023-01-26 11:57:48.368000,23.25
2023-01-26 11:57:49.368000,23.25
2023-01-26 11:57:50.367000,23.375
2023-01-26 11:57:51.368000,23.5
2023-01-26 11:57:52.368000,23.25
2023-01-26 11:57:53.367000,23.5
2023-01-26 11:57:54.368000,23.25
2023-01-26 11:57:55.367000,23.375
2023-01-26 11:57:56.367000,23.25
2023-01-26 11:57:57.368000,23.25
2023-01-26 11:57:58.367000,23.375
2023-01-26 11:57:59.367000,23.5
2023-01-26 11:58:00.368000,23.25
2023-01-26 11:58:01.367000,23.5
2023-01-26 11:58:02.367000,23.375
2023-01-26 11:58:03.366000,23.375
2023-01-26 11:58:04.367000,23.25
2023-01-26 11:58:05.367000,23.375
2023-01-26 11:58:06.366000,23.25
