FF:30:2D:02:C6:4A,name
datetime,value
2023-01-26 11:55:26.722000,{x : 0.213, y : 0.969, z : 0.124}
2023-01-26 11:55:27.989000,{x : 0.222, y : 0.964, z : 0.115}
2023-01-26 11:55:29.257000,{x : 0.213, y : 0.965, z : 0.114}
2023-01-26 11:55:30.526000,{x : 0.219, y : 0.971, z : 0.106}
2023-01-26 11:55:31.793000,{x : 0.211, y : 0.974, z : 0.121}
2023-01-26 11:55:33.061000,{x : 0.220, y : 0.962, z : 0.124}
2023-01-26 11:55:34.329000,{x : 0.217, y : 0.960, z : 0.130}
2023-01-26 11:55:35.597000,{x : 0.226, y : 0.970, z : 0.121}
2023-01-26 11:55:36.866000,{x : 0.213, y : 0.962, z : 0.115}
2023-01-26 11:55:38.133000,{x : 0.215, y : 0.972, z : 0.127}
2023-01-26 11:55:39.401000,{x : 0.218, y : 0.968, z : 0.126}
2023-01-26 11:55:40.670000,{x : 0.217, y : 0.962, z : 0.114}
2023-01-26 11:55:41.937000,{x : 0.215, y : 0.962, z : 0.114}
2023-01-26 11:55:43.206000,{x : 0.218, y : 0.964, z : 0.136}
2023-01-26 11:55:44.473000,{x : 0.216, y : 0.962, z : 0.134}
2023-01-26 11:55:45.741000,{x : 0.220, y : 0.964, z : 0.119}
2023-01-26 11:55:47.008000,{x : 0.219, y : 0.958, z : 0.154}
2023-01-26 11:55:48.277000,{x : 0.220, y : 0.966, z : 0.123}
2023-01-26 11:55:49.545000,{x : 0.217, y : 0.962, z : 0.115}
2023-01-26 11:55:50.812000,{x : 0.226, y : 0.963, z : 0.119}
2023-01-26 11:55:52.081000,{x : 0.220, y : 0.959, z : 0.126}
2023-01-26 11:55:53.348000,{x : 0.213, y : 0.969, z : 0.132}
2023-01-26 11:55:54.617000,{x : 0.229, y : 0.955, z : 0.134}
2023-01-26 11:55:55.885000,{x : 0.221, y : 0.956, z : 0.127}
2023-01-26 11:55:57.152000,{x : 0.224, y : 0.967, z : 0.127}
2023-01-26 11:55:58.421000,{x : 0.215, y : 0.967, z : 0.121}
2023-01-26 11:55:59.689000,{x : 0.210, y : 0.965, z : 0.119}
2023-01-26 11:56:00.957000,{x : 0.221, y : 0.964, z : 0.119}
2023-01-26 11:56:02.225000,{x : 0.220, y : 0.960, z : 0.128}
2023-01-26 11:56:03.492000,{x : 0.224, y : 0.963, z : 0.119}
2023-01-26 11:56:04.761000,{x : 0.221, y : 0.972, z : 0.114}
2023-01-26 11:56:06.029000,{x : 0.215, y : 0.963, z : 0.138}
2023-01-26 11:56:07.296000,{x : 0.226, y : 0.964, z : 0.124}
2023-01-26 11:56:08.565000,{x : 0.219, y : 0.967, z : 0.127}
2023-01-26 11:56:09.832000,{x : 0.227, y : 0.957, z : 0.125}
2023-01-26 11:56:11.101000,{x : 0.220, y : 0.958, z : 0.146}
2023-01-26 11:56:12.369000,{x : 0.225, y : 0.960, z : 0.137}
2023-01-26 11:56:13.636000,{x : 0.182, y : 0.953, z : 0.067}
2023-01-26 11:56:14.905000,{x : 0.216, y : 0.969, z : -0.032}
2023-01-26 11:56:16.172000,{x : 0.055, y : 0.940, z : 0.076}
2023-01-26 11:56:17.440000,{x : 0.018, y : 0.944, z : 0.265}
2023-01-26 11:56:18.709000,{x : 0.063, y : 0.933, z : 0.376}
