FF:30:2D:02:C6:4A,name
datetime,value
2023-01-26 11:54:18.296000,829
2023-01-26 11:54:18.296000,829
2023-01-26 11:54:19.295000,829
2023-01-26 11:54:20.295000,829
2023-01-26 11:54:21.294000,2323
2023-01-26 11:54:22.295000,2323
2023-01-26 11:54:23.294000,829
2023-01-26 11:54:24.294000,829
2023-01-26 11:54:25.293000,829
2023-01-26 11:54:26.294000,1774
2023-01-26 11:54:27.293000,1777
2023-01-26 11:54:28.293000,948
2023-01-26 11:54:29.292000,1066
2023-01-26 11:54:30.293000,1777
2023-01-26 11:54:31.292000,2692
2023-01-26 11:54:32.292000,829
2023-01-26 11:54:33.291000,829
2023-01-26 11:54:34.292000,1777
2023-01-26 11:54:35.291000,4266
2023-01-26 11:54:36.291000,7340
2023-01-26 11:54:37.290000,18220
2023-01-26 11:54:38.291000,8815
2023-01-26 11:54:39.290000,7466
2023-01-26 11:54:40.290000,1896
2023-01-26 11:54:41.290000,4977
2023-01-26 11:54:42.290000,3673
2023-01-26 11:54:43.289000,7821
2023-01-26 11:54:44.290000,7229
2023-01-26 11:54:45.289000,7229
2023-01-26 11:54:46.289000,7229
2023-01-26 11:54:47.288000,7229
2023-01-26 11:54:48.289000,8177
2023-01-26 11:54:49.288000,7584
2023-01-26 11:54:50.288000,7584
2023-01-26 11:54:51.287000,7584
2023-01-26 11:54:52.288000,7584
2023-01-26 11:54:53.287000,7584
2023-01-26 11:54:54.287000,7584
2023-01-26 11:54:55.286000,7584
2023-01-26 11:54:56.287000,7584
2023-01-26 11:54:57.286000,7584
2023-01-26 11:54:58.286000,7584
2023-01-26 11:54:59.285000,7584
2023-01-26 11:55:00.286000,7584
2023-01-26 11:55:01.285000,7584
2023-01-26 11:55:02.285000,7584
2023-01-26 11:55:03.284000,7584
2023-01-26 11:55:04.285000,7584
2023-01-26 11:55:05.284000,7584
2023-01-26 11:55:06.284000,7584
2023-01-26 11:55:07.283000,7584
2023-01-26 11:55:08.284000,7584
2023-01-26 11:55:09.283000,7584
2023-01-26 11:55:10.283000,7584
2023-01-26 11:55:11.282000,7584
2023-01-26 11:55:12.283000,7584
2023-01-26 11:55:13.282000,7584
2023-01-26 11:55:14.282000,7584
2023-01-26 11:55:15.281000,7584
2023-01-26 11:55:16.282000,7584
2023-01-26 11:55:17.281000,7584
2023-01-26 11:55:18.281000,7584
2023-01-26 11:55:19.280000,7584
2023-01-26 11:55:20.281000,7584
2023-01-26 11:55:21.280000,7584
2023-01-26 11:55:22.280000,7584
2023-01-26 11:55:23.279000,7466
2023-01-26 11:55:24.280000,8059
2023-01-26 11:55:25.279000,8059
2023-01-26 11:55:26.279000,8059
2023-01-26 11:55:27.278000,8059
2023-01-26 11:55:28.279000,8059
2023-01-26 11:55:29.278000,8059
2023-01-26 11:55:30.278000,8059
2023-01-26 11:55:31.277000,8059
2023-01-26 11:55:32.278000,8059
2023-01-26 11:55:33.277000,8059
2023-01-26 11:55:34.277000,8059
2023-01-26 11:55:35.276000,8059
2023-01-26 11:55:36.277000,8059
2023-01-26 11:55:37.276000,8059
2023-01-26 11:55:38.276000,8059
2023-01-26 11:55:39.275000,8059
2023-01-26 11:55:40.276000,8059
2023-01-26 11:55:41.275000,8059
2023-01-26 11:55:42.275000,8059
2023-01-26 11:55:43.274000,8059
2023-01-26 11:55:44.275000,7466
2023-01-26 11:55:45.274000,8059
2023-01-26 11:55:46.274000,8059
2023-01-26 11:55:47.273000,8059
2023-01-26 11:55:48.274000,7466
2023-01-26 11:55:49.273000,8059
2023-01-26 11:55:50.273000,8059
2023-01-26 11:55:51.272000,8059
2023-01-26 11:55:52.273000,8059
2023-01-26 11:55:53.272000,8059
2023-01-26 11:55:54.272000,8059
2023-01-26 11:55:55.271000,7466
2023-01-26 11:55:56.272000,7466
2023-01-26 11:55:57.271000,8059
2023-01-26 11:55:58.271000,8059
2023-01-26 11:55:59.270000,7466
2023-01-26 11:56:00.271000,7466
2023-01-26 11:56:01.270000,8059
2023-01-26 11:56:02.270000,8059
2023-01-26 11:56:03.269000,7466
2023-01-26 11:56:04.270000,7466
2023-01-26 11:56:05.269000,8059
2023-01-26 11:56:06.269000,8059
2023-01-26 11:56:07.269000,7466
2023-01-26 11:56:08.269000,7466
2023-01-26 11:56:09.268000,8059
2023-01-26 11:56:10.269000,8059
2023-01-26 11:56:11.268000,7466
2023-01-26 11:56:12.268000,7466
2023-01-26 11:56:13.267000,7466
2023-01-26 11:56:14.268000,7347
2023-01-26 11:56:15.267000,7347
2023-01-26 11:56:16.267000,7347
2023-01-26 11:56:17.266000,7821
2023-01-26 11:56:18.267000,8296
2023-01-26 11:56:19.266000,8296
2023-01-26 11:56:20.266000,7584
2023-01-26 11:56:21.265000,7466
2023-01-26 11:56:22.266000,7229
2023-01-26 11:56:23.265000,7229
2023-01-26 11:56:24.265000,7229
2023-01-26 11:56:25.264000,7229
2023-01-26 11:56:26.265000,7229
2023-01-26 11:56:27.264000,7229
2023-01-26 11:56:28.264000,7229
2023-01-26 11:56:29.263000,7229
2023-01-26 11:56:30.264000,7229
2023-01-26 11:56:31.263000,7229
