FD:A1:04:E0:B2:92,name
datetime,value
2023-01-25 20:58:46.052000,{x : -0.243, y : 2.000, z : 0.707}
2023-01-25 20:58:47.335000,{x : -0.080, y : 0.569, z : -1.138}
2023-01-25 20:58:48.618000,{x : -1.399, y : 1.635, z : 0.110}
2023-01-25 20:58:49.900000,{x : 0.019, y : 0.922, z : -0.355}
2023-01-25 20:58:51.183000,{x : -0.173, y : 1.209, z : 0.036}
2023-01-25 20:58:52.467000,{x : -0.397, y : 1.431, z : 0.102}
2023-01-25 20:58:53.750000,{x : -0.162, y : 1.121, z : -0.106}
2023-01-25 20:58:55.033000,{x : 0.060, y : 1.095, z : -0.102}
2023-01-25 20:58:56.316000,{x : -0.072, y : 1.295, z : -0.228}
2023-01-25 20:58:57.598000,{x : -0.128, y : 1.482, z : -0.101}
2023-01-25 20:58:58.881000,{x : -0.005, y : 1.003, z : -0.030}
2023-01-25 20:59:00.164000,{x : -0.149, y : 0.986, z : -0.199}
2023-01-25 20:59:01.448000,{x : 0.017, y : 0.756, z : -0.378}
2023-01-25 20:59:02.729000,{x : 0.075, y : 1.403, z : -0.228}
2023-01-25 20:59:04.012000,{x : 0.004, y : 0.997, z : -0.010}
2023-01-25 20:59:05.296000,{x : -0.144, y : 0.968, z : -0.129}
2023-01-25 20:59:06.579000,{x : -0.172, y : 0.978, z : -0.057}
2023-01-25 20:59:07.861000,{x : -0.091, y : 0.979, z : -0.099}
2023-01-25 20:59:09.144000,{x : -0.077, y : 0.988, z : -0.058}
2023-01-25 20:59:10.427000,{x : -0.171, y : 0.973, z : -0.021}
2023-01-25 20:59:11.710000,{x : -0.145, y : 0.991, z : -0.023}
2023-01-25 20:59:12.993000,{x : -0.140, y : 0.981, z : 0.013}
2023-01-25 20:59:14.275000,{x : -0.134, y : 0.985, z : -0.002}
2023-01-25 20:59:15.558000,{x : -0.148, y : 0.985, z : 0.009}
2023-01-25 20:59:16.842000,{x : -0.287, y : 0.944, z : -0.042}
2023-01-25 20:59:18.125000,{x : -0.265, y : 0.940, z : -0.009}
2023-01-25 20:59:19.408000,{x : -0.300, y : 0.956, z : -0.111}
2023-01-25 20:59:20.690000,{x : -0.088, y : 0.970, z : -0.183}
2023-01-25 20:59:21.973000,{x : -0.028, y : 0.984, z : 0.029}
